x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984208185615E+0
1,00000000000000E-1;1,00497200692231E+0
1,00000000000000E-1;9,95004125235688E-1
2,00000000000000E-1;2,15880297882601E+0
2,00000000000000E-1;1,01953807913749E+0
2,00000000000000E-1;9,80066415347075E-1
3,00000000000000E-1;2,20619365061904E+0
3,00000000000000E-1;1,04267127308240E+0
3,00000000000000E-1;9,55336124205510E-1
4,00000000000000E-1;2,23154058129719E+0
4,00000000000000E-1;1,07271053933905E+0
4,00000000000000E-1;9,21060350732530E-1
5,00000000000000E-1;2,23459051052970E+0
5,00000000000000E-1;1,10743432627257E+0
5,00000000000000E-1;8,77581569948859E-1
6,00000000000000E-1;2,21531296410840E+0
6,00000000000000E-1;1,14415937856232E+0
6,00000000000000E-1;8,25334211049011E-1
7,00000000000000E-1;2,17390055843912E+0
7,00000000000000E-1;1,17986068959686E+0
7,00000000000000E-1;7,64840316692514E-1
8,00000000000000E-1;2,11076707596692E+0
8,00000000000000E-1;1,21130769591327E+0
8,00000000000000E-1;6,96704326883063E-1
9,00000000000000E-1;2,02654333076497E+0
9,00000000000000E-1;1,23521112818607E+0
9,00000000000000E-1;6,21607039553762E-1
1,00000000000000E+0;1,92207086559696E+0
1,00000000000000E+0;1,24837448382963E+0
1,00000000000000E+0;5,40298808202811E-1
