x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,09036360348279E+0
1,00000000000000E-1;1,00474752129182E+0
1,00000000000000E-1;9,95253027519424E-1
2,00000000000000E-1;2,15988117242970E+0
2,00000000000000E-1;1,01915605265151E+0
2,00000000000000E-1;9,80557058805345E-1
3,00000000000000E-1;2,20784751833327E+0
3,00000000000000E-1;1,04221306928365E+0
3,00000000000000E-1;9,56053990625913E-1
4,00000000000000E-1;2,23377248430458E+0
4,00000000000000E-1;1,07226843414955E+0
4,00000000000000E-1;9,21983803491567E-1
5,00000000000000E-1;2,23738595127379E+0
5,00000000000000E-1;1,10710697336066E+0
5,00000000000000E-1;8,78682212328043E-1
6,00000000000000E-1;2,21864064762232E+0
6,00000000000000E-1;1,14404648787360E+0
6,00000000000000E-1;8,26577359198587E-1
7,00000000000000E-1;2,17771273306867E+0
7,00000000000000E-1;1,18005720629467E+0
7,00000000000000E-1;7,66185580649436E-1
8,00000000000000E-1;2,11500014985916E+0
8,00000000000000E-1;1,21189779902183E+0
8,00000000000000E-1;6,98106291517185E-1
9,00000000000000E-1;2,03111875662534E+0
9,00000000000000E-1;1,23626238476261E+0
9,00000000000000E-1;6,23016035887725E-1
1,00000000000000E+0;1,92689628243769E+0
1,00000000000000E+0;1,24993249451129E+0
1,00000000000000E+0;5,41661764245315E-1
