x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984173852201E+0
1,00000000000000E-1;1,00497085589461E+0
1,00000000000000E-1;9,95004161128986E-1
2,00000000000000E-1;2,15880246852697E+0
2,00000000000000E-1;1,01953604086842E+0
2,00000000000000E-1;9,80066569661048E-1
3,00000000000000E-1;2,20619315737249E+0
3,00000000000000E-1;1,04266862328533E+0
3,00000000000000E-1;9,55336477154747E-1
4,00000000000000E-1;2,23154029314229E+0
4,00000000000000E-1;1,07270756377316E+0
4,00000000000000E-1;9,21060978600459E-1
5,00000000000000E-1;2,23459061581898E+0
5,00000000000000E-1;1,10743131762953E+0
5,00000000000000E-1;8,77582543528109E-1
6,00000000000000E-1;2,21531364777261E+0
6,00000000000000E-1;1,14415663213712E+0
6,00000000000000E-1;8,25335594164049E-1
7,00000000000000E-1;2,17390199828114E+0
7,00000000000000E-1;1,17985849782270E+0
7,00000000000000E-1;7,64842164827020E-1
8,00000000000000E-1;2,11076943904042E+0
8,00000000000000E-1;1,21130634190542E+0
8,00000000000000E-1;6,96706685933090E-1
9,00000000000000E-1;2,02654676989233E+0
9,00000000000000E-1;1,23521087850224E+0
9,00000000000000E-1;6,21609944726073E-1
1,00000000000000E+0;1,92207551607949E+0
1,00000000000000E+0;1,24837558071203E+0
1,00000000000000E+0;5,40302283075808E-1


x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984174611609E+0
1,00000000000000E-1;1,00497087380375E+0
1,00000000000000E-1;9,95004164759591E-1
2,00000000000000E-1;2,15880248423124E+0
2,00000000000000E-1;1,01953607585233E+0
2,00000000000000E-1;9,80066576819520E-1
3,00000000000000E-1;2,20619318146768E+0
3,00000000000000E-1;1,04266867438673E+0
3,00000000000000E-1;9,55336487631059E-1
4,00000000000000E-1;2,23154032566660E+0
4,00000000000000E-1;1,07270762990440E+0
4,00000000000000E-1;9,21060992080780E-1
5,00000000000000E-1;2,23459065656491E+0
5,00000000000000E-1;1,10743139756572E+0
5,00000000000000E-1;8,77582559600027E-1
6,00000000000000E-1;2,21531369628780E+0
6,00000000000000E-1;1,14415672451054E+0
6,00000000000000E-1;8,25335612323469E-1
7,00000000000000E-1;2,17390205387342E+0
7,00000000000000E-1;1,17985860111958E+0
7,00000000000000E-1;7,64842184486631E-1
8,00000000000000E-1;2,11076950078676E+0
8,00000000000000E-1;1,21130645446605E+0
8,00000000000000E-1;6,96706706432290E-1
9,00000000000000E-1;2,02654683665174E+0
9,00000000000000E-1;1,23521099852561E+0
9,00000000000000E-1;6,21609965342206E-1
1,00000000000000E+0;1,92207558650965E+0
1,00000000000000E+0;1,24837570626607E+0
1,00000000000000E+0;5,40302303036559E-1


x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984174706693E+0
1,00000000000000E-1;1,00497087603846E+0
1,00000000000000E-1;9,95004165213234E-1
2,00000000000000E-1;2,15880248619660E+0
2,00000000000000E-1;1,01953608021693E+0
2,00000000000000E-1;9,80066577713577E-1
3,00000000000000E-1;2,20619318448180E+0
3,00000000000000E-1;1,04266868076115E+0
3,00000000000000E-1;9,55336488938902E-1
4,00000000000000E-1;2,23154032973336E+0
4,00000000000000E-1;1,07270763815242E+0
4,00000000000000E-1;9,21060993762823E-1
5,00000000000000E-1;2,23459066165749E+0
5,00000000000000E-1;1,10743140753406E+0
5,00000000000000E-1;8,77582561604390E-1
6,00000000000000E-1;2,21531370234880E+0
6,00000000000000E-1;1,14415673602818E+0
6,00000000000000E-1;8,25335614586842E-1
7,00000000000000E-1;2,17390206081548E+0
7,00000000000000E-1;1,17985861399732E+0
7,00000000000000E-1;7,64842186935342E-1
8,00000000000000E-1;2,11076950849373E+0
8,00000000000000E-1;1,21130646849649E+0
8,00000000000000E-1;6,96706708983551E-1
9,00000000000000E-1;2,02654684498028E+0
9,00000000000000E-1;1,23521101348375E+0
9,00000000000000E-1;6,21609967905523E-1
1,00000000000000E+0;1,92207559529134E+0
1,00000000000000E+0;1,24837572191058E+0
1,00000000000000E+0;5,40302305515286E-1
