x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984183045852E+0
1,00000000000000E-1;1,00497115804101E+0
1,00000000000000E-1;9,95004155073063E-1
2,00000000000000E-1;2,15880260872220E+0
2,00000000000000E-1;1,01953657854397E+0
2,00000000000000E-1;9,80066536834692E-1
3,00000000000000E-1;2,20619330004745E+0
3,00000000000000E-1;1,04266932679235E+0
3,00000000000000E-1;9,55336397335435E-1
4,00000000000000E-1;2,23154039131764E+0
4,00000000000000E-1;1,07270836079786E+0
4,00000000000000E-1;9,21060832465046E-1
5,00000000000000E-1;2,23459062223959E+0
5,00000000000000E-1;1,10743213401479E+0
5,00000000000000E-1;8,77582313046935E-1
6,00000000000000E-1;2,21531351584205E+0
6,00000000000000E-1;1,14415739296029E+0
6,00000000000000E-1;8,25335262975823E-1
7,00000000000000E-1;2,17390168299224E+0
7,00000000000000E-1;1,17985912875924E+0
7,00000000000000E-1;7,64841718588784E-1
8,00000000000000E-1;2,11076889788779E+0
8,00000000000000E-1;1,21130677084302E+0
8,00000000000000E-1;6,96706112639905E-1
9,00000000000000E-1;2,02654596375326E+0
9,00000000000000E-1;1,23521103735445E+0
9,00000000000000E-1;6,21609234995462E-1
1,00000000000000E+0;1,92207441004977E+0
1,00000000000000E+0;1,24837540736592E+0
1,00000000000000E+0;5,40301430392489E-1
