x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984174706693E+0
1,00000000000000E-1;1,00497087603846E+0
1,00000000000000E-1;9,95004165213234E-1
2,00000000000000E-1;2,15880248619660E+0
2,00000000000000E-1;1,01953608021693E+0
2,00000000000000E-1;9,80066577713577E-1
3,00000000000000E-1;2,20619318448180E+0
3,00000000000000E-1;1,04266868076115E+0
3,00000000000000E-1;9,55336488938902E-1
4,00000000000000E-1;2,23154032973336E+0
4,00000000000000E-1;1,07270763815242E+0
4,00000000000000E-1;9,21060993762823E-1
5,00000000000000E-1;2,23459066165749E+0
5,00000000000000E-1;1,10743140753406E+0
5,00000000000000E-1;8,77582561604390E-1
6,00000000000000E-1;2,21531370234880E+0
6,00000000000000E-1;1,14415673602818E+0
6,00000000000000E-1;8,25335614586842E-1
7,00000000000000E-1;2,17390206081548E+0
7,00000000000000E-1;1,17985861399732E+0
7,00000000000000E-1;7,64842186935342E-1
8,00000000000000E-1;2,11076950849373E+0
8,00000000000000E-1;1,21130646849649E+0
8,00000000000000E-1;6,96706708983551E-1
9,00000000000000E-1;2,02654684498028E+0
9,00000000000000E-1;1,23521101348375E+0
9,00000000000000E-1;6,21609967905523E-1
1,00000000000000E+0;1,92207559529134E+0
1,00000000000000E+0;1,24837572191058E+0
1,00000000000000E+0;5,40302305515286E-1
