x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984309884547E+0
1,00000000000000E-1;1,00497542931112E+0
1,00000000000000E-1;9,95004011330158E-1
2,00000000000000E-1;2,15880448280378E+0
2,00000000000000E-1;1,01954413398471E+0
2,00000000000000E-1;9,80065940126210E-1
3,00000000000000E-1;2,20619508904302E+0
3,00000000000000E-1;1,04267913488394E+0
3,00000000000000E-1;9,55335047382025E-1
4,00000000000000E-1;2,23154138997552E+0
4,00000000000000E-1;1,07271935267396E+0
4,00000000000000E-1;9,21058443990944E-1
5,00000000000000E-1;2,23459012475193E+0
5,00000000000000E-1;1,10744321515571E+0
5,00000000000000E-1;8,77578621615604E-1
6,00000000000000E-1;2,21531082984981E+0
6,00000000000000E-1;1,14416745944211E+0
6,00000000000000E-1;8,25330030512829E-1
7,00000000000000E-1;2,17389614347071E+0
7,00000000000000E-1;1,17986708775695E+0
7,00000000000000E-1;7,64834738507943E-1
8,00000000000000E-1;2,11075988070447E+0
8,00000000000000E-1;1,21131156484183E+0
8,00000000000000E-1;6,96697214494032E-1
9,00000000000000E-1;2,02653289869330E+0
9,00000000000000E-1;1,23521167128764E+0
9,00000000000000E-1;6,21598288579407E-1
1,00000000000000E+0;1,92205679311127E+0
1,00000000000000E+0;1,24837097768210E+0
1,00000000000000E+0;5,40288349233479E-1


x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984208185615E+0
1,00000000000000E-1;1,00497200692231E+0
1,00000000000000E-1;9,95004125235688E-1
2,00000000000000E-1;2,15880297882601E+0
2,00000000000000E-1;1,01953807913749E+0
2,00000000000000E-1;9,80066415347075E-1
3,00000000000000E-1;2,20619365061904E+0
3,00000000000000E-1;1,04267127308240E+0
3,00000000000000E-1;9,55336124205510E-1
4,00000000000000E-1;2,23154058129719E+0
4,00000000000000E-1;1,07271053933905E+0
4,00000000000000E-1;9,21060350732530E-1
5,00000000000000E-1;2,23459051052970E+0
5,00000000000000E-1;1,10743432627257E+0
5,00000000000000E-1;8,77581569948859E-1
6,00000000000000E-1;2,21531296410840E+0
6,00000000000000E-1;1,14415937856232E+0
6,00000000000000E-1;8,25334211049011E-1
7,00000000000000E-1;2,17390055843912E+0
7,00000000000000E-1;1,17986068959686E+0
7,00000000000000E-1;7,64840316692514E-1
8,00000000000000E-1;2,11076707596692E+0
8,00000000000000E-1;1,21130769591327E+0
8,00000000000000E-1;6,96704326883063E-1
9,00000000000000E-1;2,02654333076497E+0
9,00000000000000E-1;1,23521112818607E+0
9,00000000000000E-1;6,21607039553762E-1
1,00000000000000E+0;1,92207086559696E+0
1,00000000000000E+0;1,24837448382963E+0
1,00000000000000E+0;5,40298808202811E-1


x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984183045852E+0
1,00000000000000E-1;1,00497115804101E+0
1,00000000000000E-1;9,95004155073063E-1
2,00000000000000E-1;2,15880260872220E+0
2,00000000000000E-1;1,01953657854397E+0
2,00000000000000E-1;9,80066536834692E-1
3,00000000000000E-1;2,20619330004745E+0
3,00000000000000E-1;1,04266932679235E+0
3,00000000000000E-1;9,55336397335435E-1
4,00000000000000E-1;2,23154039131764E+0
4,00000000000000E-1;1,07270836079786E+0
4,00000000000000E-1;9,21060832465046E-1
5,00000000000000E-1;2,23459062223959E+0
5,00000000000000E-1;1,10743213401479E+0
5,00000000000000E-1;8,77582313046935E-1
6,00000000000000E-1;2,21531351584205E+0
6,00000000000000E-1;1,14415739296029E+0
6,00000000000000E-1;8,25335262975823E-1
7,00000000000000E-1;2,17390168299224E+0
7,00000000000000E-1;1,17985912875924E+0
7,00000000000000E-1;7,64841718588784E-1
8,00000000000000E-1;2,11076889788779E+0
8,00000000000000E-1;1,21130677084302E+0
8,00000000000000E-1;6,96706112639905E-1
9,00000000000000E-1;2,02654596375326E+0
9,00000000000000E-1;1,23521103735445E+0
9,00000000000000E-1;6,21609234995462E-1
1,00000000000000E+0;1,92207441004977E+0
1,00000000000000E+0;1,24837540736592E+0
1,00000000000000E+0;5,40301430392489E-1
