x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;-3,15437963951708E+22
1,00000000000000E-1;9,50657540674154E+20
1,00000000000000E-1;1,10517091350746E+0
2,00000000000000E-1;-6,09706706568123E+43
2,00000000000000E-1;9,03749759640631E+41
2,00000000000000E-1;1,22140274806290E+0
3,00000000000000E-1;-8,83941192554622E+64
3,00000000000000E-1;8,59156523884820E+62
3,00000000000000E-1;1,34985879083719E+0
4,00000000000000E-1;-1,13922810339468E+86
4,00000000000000E-1;8,16763628050498E+83
4,00000000000000E-1;1,49182467297561E+0
5,00000000000000E-1;-1,37659875433494E+107
5,00000000000000E-1;7,76462501954586E+104
5,00000000000000E-1;1,64872123662541E+0
6,00000000000000E-1;-1,59703185737877E+128
6,00000000000000E-1;7,38149932533847E+125
6,00000000000000E-1;1,82211875520045E+0
7,00000000000000E-1;-1,80145614739352E+149
7,00000000000000E-1;7,01727799511419E+146
7,00000000000000E-1;2,01375264920395E+0
8,00000000000000E-1;-1,99075287809586E+170
8,00000000000000E-1;6,67102824106211E+167
8,00000000000000E-1;2,22554085489878E+0
9,00000000000000E-1;-2,16575819434523E+191
9,00000000000000E-1;6,34186330141594E+188
9,00000000000000E-1;2,45960301965665E+0
1,00000000000000E+0;-2,32726538685830E+212
1,00000000000000E+0;6,02894016941575E+209
1,00000000000000E+0;2,71828171609963E+0


x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;-4,41866508488834E+23
1,00000000000000E-1;6,18959041802644E+21
1,00000000000000E-1;1,10517091750234E+0
2,00000000000000E-1;-5,66523535763526E+45
2,00000000000000E-1;3,83110295429248E+43
2,00000000000000E-1;1,22140275689295E+0
3,00000000000000E-1;-5,44974164491366E+67
3,00000000000000E-1;2,37129581363616E+65
3,00000000000000E-1;1,34985880547527E+0
4,00000000000000E-1;-4,66178821947199E+89
4,00000000000000E-1;1,46773498463886E+87
4,00000000000000E-1;1,49182469454571E+0
5,00000000000000E-1;-3,74000052271282E+111
5,00000000000000E-1;9,08467839712286E+108
5,00000000000000E-1;1,64872126642372E+0
6,00000000000000E-1;-2,88159524570247E+133
6,00000000000000E-1;5,62304383576835E+130
6,00000000000000E-1;1,82211879471911E+0
7,00000000000000E-1;-2,15938658401800E+155
7,00000000000000E-1;3,48043382460144E+152
7,00000000000000E-1;2,01375270015797E+0
8,00000000000000E-1;-1,58578036246140E+177
8,00000000000000E-1;2,15424598513283E+174
8,00000000000000E-1;2,22554091925639E+0
9,00000000000000E-1;-1,14679480975246E+199
9,00000000000000E-1;1,33339003076501E+196
9,00000000000000E-1;2,45960309967358E+0
1,00000000000000E+0;-8,19411721259722E+220
1,00000000000000E+0;8,25313815791508E+217
1,00000000000000E+0;2,71828181435784E+0


x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;-6,48266529910916E+1
1,00000000000000E-1;3,64858065194763E-1
1,00000000000000E-1;1,10517091800384E+0
2,00000000000000E-1;-5,12375723943378E+1
2,00000000000000E-1;1,33121407737666E-1
2,00000000000000E-1;1,22140275800145E+0
3,00000000000000E-1;-3,00265723363712E+1
3,00000000000000E-1;4,85704192631679E-2
3,00000000000000E-1;1,34985880731288E+0
4,00000000000000E-1;-1,52280164754969E+1
4,00000000000000E-1;1,77213091980579E-2
4,00000000000000E-1;1,49182469725355E+0
5,00000000000000E-1;-6,72339734291052E+0
5,00000000000000E-1;6,46576258672157E-3
5,00000000000000E-1;1,64872127016451E+0
6,00000000000000E-1;-2,21190552981793E+0
6,00000000000000E-1;2,35908562739991E-3
6,00000000000000E-1;1,82211879968017E+0
7,00000000000000E-1;1,19173725922433E-1
7,00000000000000E-1;8,60731417641909E-4
7,00000000000000E-1;2,01375270655459E+0
8,00000000000000E-1;1,35127104108670E+0
8,00000000000000E-1;3,14044799693173E-4
8,00000000000000E-1;2,22554092733565E+0
9,00000000000000E-1;2,06077237180371E+0
9,00000000000000E-1;1,14581778000528E-4
9,00000000000000E-1;2,45960310971866E+0
1,00000000000000E+0;2,53725828333648E+0
1,00000000000000E+0;4,18060858278486E-5
1,00000000000000E+0;2,71828182669287E+0
