h;y
0;-0,0314106092855092
0,1;-0,338731300216073
0,2;-0,612887229838182
0,3;-0,827044391089219
0,4;-0,960241656898017
0,5;-0,999442622044542
0,6;-0,940811716060344
0,7;-0,790089672535422
0,8;-0,562031601449236
0,9;-0,278962670074739
