x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05093000398408E+0
1,00000000000000E-1;3,95181829584869E-1
2,00000000000000E-1;1,10238701767853E+0
2,00000000000000E-1;2,81565964629803E-1
3,00000000000000E-1;1,15233226630668E+0
3,00000000000000E-1;1,60737461392186E-1
4,00000000000000E-1;1,19881708656201E+0
4,00000000000000E-1;3,47693267919639E-2
5,00000000000000E-1;1,24018550404832E+0
5,00000000000000E-1;-9,37489548078028E-2
6,00000000000000E-1;1,27527420801094E+0
6,00000000000000E-1;-2,21755444423288E-1
7,00000000000000E-1;1,30357199848149E+0
7,00000000000000E-1;-3,45837920200485E-1
8,00000000000000E-1;1,32530496976113E+0
8,00000000000000E-1;-4,62420734775617E-1
9,00000000000000E-1;1,34142937552875E+0
9,00000000000000E-1;-5,67986267189082E-1
1,00000000000000E+0;1,35353672719037E+0
1,00000000000000E+0;-6,59293590807901E-1


x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05092946761216E+0
1,00000000000000E-1;3,95180545011435E-1
2,00000000000000E-1;1,10238589909761E+0
2,00000000000000E-1;2,81564054440019E-1
3,00000000000000E-1;1,15233070020697E+0
3,00000000000000E-1;1,60735616118033E-1
4,00000000000000E-1;1,19881541808301E+0
4,00000000000000E-1;3,47681640511404E-2
5,00000000000000E-1;1,24018427359680E+0
5,00000000000000E-1;-9,37490169090523E-2
6,00000000000000E-1;1,27527408134739E+0
6,00000000000000E-1;-2,21754308839140E-1
7,00000000000000E-1;1,30357364986048E+0
7,00000000000000E-1;-3,45835894022598E-1
8,00000000000000E-1;1,32530894402400E+0
8,00000000000000E-1;-4,62418546511349E-1
9,00000000000000E-1;1,34143596463322E+0
9,00000000000000E-1;-5,67985008866285E-1
1,00000000000000E+0;1,35354589196338E+0
1,00000000000000E+0;-6,59294597883755E-1

x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05092933353235E+0
1,00000000000000E-1;3,95180226630822E-1
2,00000000000000E-1;1,10238562014062E+0
2,00000000000000E-1;2,81563582154801E-1
3,00000000000000E-1;1,15233031075179E+0
3,00000000000000E-1;1,60735161791455E-1
4,00000000000000E-1;1,19881500500029E+0
4,00000000000000E-1;3,47678807429505E-2
5,00000000000000E-1;1,24018397224328E+0
5,00000000000000E-1;-9,37490265542561E-2
6,00000000000000E-1;1,27527405788985E+0
6,00000000000000E-1;-2,21754022803274E-1
7,00000000000000E-1;1,30357407194519E+0
7,00000000000000E-1;-3,45835391377644E-1
8,00000000000000E-1;1,32530994631748E+0
8,00000000000000E-1;-4,62418011359990E-1
9,00000000000000E-1;1,34143761811101E+0
9,00000000000000E-1;-5,67984715503810E-1
1,00000000000000E+0;1,35354818459857E+0
1,00000000000000E+0;-6,59294880509091E-1

